Correct:   18
Incorrect: 115
Skipped:   64
Character accuracy: 402 / 628 0.640127388535
g:    0.0000    0  / 24  9    23
o:    0.0000    0  / 14  0    13
z:    0.0556    1  / 18  2    11
c:    0.2857    4  / 14  0    5
y:    0.3571    5  / 14  k    7
n:    0.3750    9  / 24  h    7
s:    0.5000    13 / 26  5    9
q:    0.5238    11 / 21  9    9
k:    0.5263    10 / 19  4    9
p:    0.5333    8  / 15  0    4
u:    0.5556    10 / 18  0    7
j:    0.5625    9  / 16  i    4
v:    0.5882    10 / 17  b    7
a:    0.6154    8  / 13  6    3
8:    0.6471    11 / 17  a    2
e:    0.6800    17 / 25  6    2
b:    0.6818    15 / 22  6    7
w:    0.7000    7  / 10  h    2
d:    0.7273    8  / 11  0    2
h:    0.7368    14 / 19  6    2
6:    0.7600    19 / 25  5    3
4:    0.7692    10 / 13  9    2
t:    0.7727    17 / 22  5    2
0:    0.7917    19 / 24  l    4
2:    0.8095    17 / 21  a    2
7:    0.8182    9  / 11  2    2
r:    0.8571    18 / 21  w    2
3:    0.8750    14 / 16  5    1
1:    0.8889    16 / 18  l    2
5:    0.8889    16 / 18  i    1
i:    0.8947    17 / 19  j    1
f:    0.9000    18 / 20  p    1
l:    0.9333    14 / 15  i    1
m:    1.0000    3  / 3   m    3
x:    1.0000    9  / 9   x    9
9:    1.0000    16 / 16  9    16
SCORE: -926
